"Package","LinkedPackage"
"abind","R (>= 1.5.0)"
"AcceptanceSampling","methods"
"AcceptanceSampling","R(>= 2.4.0)"
"AcceptanceSampling","stats"
"aCGH.Spline","rJava"
"actuar","R (>= 2.6.0)"
"ada","R(>= 2.0.1)"
"ada","rpart"
"adabag","R (>= 2.4.0)"
"adabag","rpart"
"adabag","mlbench"
"ADaCGH","R (>= 2.2.1)"
"ADaCGH","cgh"
"ADaCGH","tilingArray"
"ADaCGH","aCGH"
"ADaCGH","cghMCR"
"ADaCGH","papply"
"ADaCGH","GDD"
"ADaCGH","waveslim"
"ADaCGH","cluster"
"ADaCGH","snapCGH"
"ADaCGH","Hmisc"
"AdaptFit","SemiPar"
"AdaptFit","MASS"
"AdaptFit","nlme"
"AdaptFit","cluster"
"adaptTest","lattice"
"ade4TkGUI","ade4 (>= 1.4-3)"
"ade4TkGUI","tcltk"
"adegenet","methods"
"adegenet","MASS"
"adehabitat","R (>= 2.7.0)"
"adehabitat","ade4"
"adephylo","methods"
"adephylo","phylobase"
"adephylo","ape"
"adephylo","ade4"
"adimpro","R (>= 2.6.0)"
"adimpro","grDevices"
"adlift","EbayesThresh"
"AdMit","mvtnorm"
"AER","R (>= 2.5.0)"
"AER","stats"
"AER","car (>= 2.0-1)"
"AER","Formula (>= 0.2-0)"
"AER","lmtest"
"AER","sandwich"
"AER","strucchange"
"AER","survival"
"AER","zoo"
"AGSDest","ldbounds"
"AIGIS","R (>= 2.5.1)"
"AIGIS","gpclib (>= 1.4)"
"AIM","survival"
"alabama","R (>= 2.10.1)"
"alabama","numDeriv"
"allan","biglm"
"alphahull","tripack"
"alphahull","sgeostat"
"alphahull","splancs"
"ALS","nnls (>= 1.1)"
"ALS","Iso"
"amba","ofp (>= 0.5.0)"
"Amelia","R (>= 2.0.0)"
"Amelia","foreign"
"Amelia","utils"
"amer","methods"
"amer","nlme"
"amer","Matrix"
"amer","splines"
"amer","lme4"
"anacor","rgl"
"anacor","scatterplot3d"
"anacor","fda"
"anacor","colorspace"
"anacor","car"
"analogue","R (>= 2.5.0)"
"analogue","stats"
"analogue","graphics"
"analogue","vegan"
"analogue","lattice"
"analogue","MASS"
"AnalyzeFMRI","tcltk"
"AnalyzeFMRI","R.matlab"
"AnalyzeFMRI","fastICA"
"anchors","R (>= 2.4.0)"
"anchors","rgenoud"
"anchors","MASS"
"andrews","R (>= 2.9.1)"
"anesrake","Hmisc"
"animation","MASS"
"anm","R (>= 1.4)"
"anm","clim.pact"
"anm","xtable"
"ant","rJava (>= 0.8-0)"
"aod","R (>= 2.0.0)"
"aod","methods"
"aod","stats"
"apcluster","R (>= 2.6.0)"
"apcluster","methods"
"ape","R (>= 2.6.0)"
"aplpack","R (>= 2.8.0)"
"aplpack","tcltk"
"approximator","R (>= 2.0.0)"
"approximator","emulator"
"apsrtable","R (>= 2.9.0)"
"apsrtable","methods"
"apTreeshape","R (>= 2.0.0)"
"aqp","R (>= 2.9.0)"
"aqp","plyr"
"aqp","reshape"
"aqp","lattice"
"aqp","cluster"
"aqp","sp"
"AquaEnv","minpack.lm"
"AquaEnv","deSolve"
"archetypes","methods"
"archetypes","stats"
"archetypes","modeltools"
"archetypes","nnls (>= 1.1)"
"ArDec","stats"
"ArDec","methods"
"ares","R (>= 2.11.0)"
"ares","utils"
"ares","stats"
"ares","foreign"
"ares","gam"
"ares","splines"
"ares","gplots"
"arm","methods"
"arm","R (>= 2.9.0)"
"arm","MASS"
"arm","Matrix (>= 0.999375-33)"
"arm","lme4 (>=
0.999375-32)"
"arm","R2WinBUGS"
"arm","abind"
"arm","car"
"aroma.affymetrix","R (>= 2.9.0)"
"aroma.affymetrix","R.utils (>= 1.4.3)"
"aroma.affymetrix","R.filesets (>= 0.8.3)"
"aroma.affymetrix","aroma.core (>= 1.7.0)"
"aroma.affymetrix","aroma.light (>= 1.16.0)"
"aroma.affymetrix","aroma.apd (>=
0.1.7)"
"aroma.affymetrix","R.rsp (>= 0.3.6)"
"aroma.affymetrix","affxparser (>= 1.16.0)"
"aroma.apd","R (>= 2.2.0)"
"aroma.apd","R.methodsS3"
"aroma.apd","R.utils"
"aroma.apd","R.huge (>= 0.2.0)"
"aroma.apd","affxparser"
