"Package","User","Installed"
"season",23,0
"envelope",49,0
"Rglpk",48,0
"FKF",62,0
"svGUI",40,0
"ghyp",35,0
"aod",46,0
"tdthap",19,0
"gamair",7,0
"snowfall",59,0
"Runiversal",56,0
"LambertW",9,0
"BGSIMD",43,0
"degreenet",23,1
"pamr",65,0
"marelacTeaching",43,0
"multicore",41,0
"CoxBoost",21,0
"psy",42,0
"REEMtree",3,0
"haplo.stats",21,0
"RcmdrPlugin.doex",36,0
"svmpath",58,0
"skmeans",36,0
"gap",50,0
"caroline",58,0
"fastICA",13,0
"RColorBrewer",19,1
"SASmixed",57,0
"MARSS",36,0
"gputools",47,0
"TSHRC",47,0
"Rvmmin",7,0
"spdep",54,0
"vcd",40,0
"GSA",26,0
"mapReduce",61,0
"relaimpo",25,0
"lmm",57,0
"LogicReg",6,0
"Synth",59,0
"bipartite",26,0
"SQN",31,0
"mda",27,0
"atmi",1,0
"R.utils",21,0
"rseedcalc",37,0
"e1071",19,1
"gbm",63,0
"ADGofTest",27,0
"Hmisc",60,0
"adephylo",54,0
"sciplot",35,0
"msm",13,0
"spssDDI",59,0
"expm",43,0
"animation",46,0
"flashClust",50,0
"geofd",54,0
"triads",23,0
"TreeSim",43,0
"SNPMaP.cdm",8,0
"magic",19,0
"network",28,0
"write.snns",62,0
"topmodel",28,0
"R4dfp",60,0
"bqtl",7,0
"segclust",7,0
"skewt",15,0
"fuzzyOP",59,0
"Peaks",41,0
"ElectroGraph",63,0
"oce",41,0
"ScottKnott",30,0
"mapdata",42,0
"randomForest",30,1
"gputools",19,0
"gamlss.util",55,0
"LogicForest",7,0
"geoR",56,0
"cobs99",1,0
"pomp",7,0
"fPortfolio",16,0
"MplusAutomation",37,0
"R2Cuba",16,0
"scrime",61,0
"clue",8,0
"nlreg",56,0
"nleqslv",55,0
"histogram",55,0
"pcse",16,0
"gvlma",31,0
"nppbib",41,0
"gmp",3,0
"nnc",63,0
"RGraphics",16,0
"openNLPmodels.es",4,0
"wmtsa",8,0
"nlt",11,0
"gamm4",41,0
"sbgcop",51,0
"stringkernels",46,0
"lmomRFA",47,0
"RobLoxBioC",57,0
"sensitivityPStrat",14,0
"knncat",63,0
"mvnormtest",46,0
"SHARE",44,0
"pwt",11,0
"twitteR",7,1
"FSelector",51,0
"dpmixsim",51,0
"fame",49,0
"boolean",43,0
"vcd",48,0
"sudoku",9,1
"G1DBN",44,0
"aCGH.Spline",50,0
"tframePlus",58,0
