"Package","LinkedPackage"
"accuracy","Zelig"
"ADaCGH","Rmpi"
"ADaCGH","GLAD"
"ADaCGH","DNAcopy"
"ADaCGH","rsprng"
"ade4","waveslim"
"ade4","splancs"
"ade4","MASS"
"ade4","maptools"
"ade4","spdep"
"ade4","pixmap"
"ade4","ape"
"ade4","deldir"
"ade4","ade4TkGUI"
"ade4TkGUI","tkrplot"
"ade4TkGUI","pixmap"
"adegenet","ade4"
"adegenet","genetics"
"adegenet","hierfstat"
"adegenet","spdep"
"adegenet","tripack"
"adegenet","ape"
"adegenet","pegas"
"adegenet","graph"
"adegenet","RBGL"
"adehabitat","gpclib"
"adehabitat","sp"
"adehabitat","spatstat"
"adehabitat","MASS"
"adehabitat","tkrplot"
"adehabitat","shapefiles"
"adehabitat","CircStats"
"AdMit","coda"
"ads","spatstat"
"AER","boot"
"AER","dynlm"
"AER","effects"
"AER","foreign"
"AER","ineq"
"AER","KernSmooth"
"AER","lattice"
"AER","MASS"
"AER","mlogit"
"AER","nlme"
"AER","nnet"
"AER","np"
"AER","plm"
"AER","pscl"
"AER","quantreg"
"AER","ROCR"
"AER","sampleSelection"
"AER","systemfit"
"AER","truncreg"
"AER","tseries"
"AER","urca"
"agricolae","akima"
"agricolae","klaR"
"agricolae","MASS"
"agricolae","cluster"
"AICcmodavg","lme4"
"AICcmodavg","MASS"
"AICcmodavg","nlme"
"AICcmodavg","nnet"
"amap","Biobase"
"Amelia","tcltk"
"Amelia","Zelig"
"aod","MASS"
"aod","nlme"
"aod","boot"
"ape","gee"
"apTreeshape","ape"
"apTreeshape","quantreg"
"aqp","RColorBrewer"
"aqp","colorspace"
"aqp","maptools"
"aqp","foreign"
"archetypes","MASS"
"archetypes","vcd"
"archetypes","mlbench"
"archetypes","ggplot2"
"arm","foreign"
"aroma.affymetrix","RColorBrewer (>= 1.0-2)"
"aroma.affymetrix","preprocessCore (>= 1.8.0)"
"aroma.affymetrix","affyPLM
(>= 1.22.0)"
"aroma.affymetrix","affy (>= 1.24.0)"
"aroma.affymetrix","EBImage (>= 2.2.0)"
"aroma.affymetrix","limma (>=
3.2.0)"
"aroma.affymetrix","gcrma (>= 2.10.0)"
"aroma.affymetrix","gsmoothr (>= 0.1.3)"
"aroma.affymetrix","dChipIO (>=
0.1.0)"
"aroma.affymetrix","oligo (>= 1.12.0)"
"aroma.affymetrix","oligoClasses (>= 1.10.0)"
"aroma.affymetrix","DBI (>=
0.2-5)"
"aroma.affymetrix","pdInfoBuilder (>= 2.14.1)"
"aroma.cn","GLAD (>= 1.12.0)"
"aroma.cn","DNAcopy (>= 1.20.0)"
"aroma.core","RColorBrewer (>= 1.0-2)"
"aroma.core","EBImage (>= 2.2.0)"
"aroma.core","Cairo (>=
1.3-5)"
"aroma.core","sfit (>= 0.1.8)"
"aroma.core","expectile (>= 0.2.5)"
"aroma.core","geneplotter (>=
1.16.0)"
"aroma.core","GLAD (>= 1.12.0)"
"aroma.core","DNAcopy (>= 1.20.0)"
"aroma.core","HaarSeg (>=
0.0.2)"
"aroma.core","mpcbs (>= 1.1.1)"
"aroma.light","R.oo (>= 1.7.1)"
"aroma.light","R.utils (>= 1.4.0)"
"aroma.light","princurve (>= 1.1-10)"
"arules","pmml"
"asbio","odesolve"
"asbio","lmomco"
"asbio","cluster"
"asbio","boot"
"asbio","akima"
"asbio","tcltk"
"ascii","survival"
"ascii","Hmisc"
"ascii","xtable"
"ascii","R2HTML"
"ascii","hwriter"
"ascii","cacheSweave"
"ascii","weaver"
"aspect","sem"
"aspect","polycor"
"BARD","snow"
"BARD","rgenoud"
"BARD","gpclib"
"BARD","rgdal"
"BARD","rJava"
"batch","multicore"
"BayesDA","MCMCpack"
"BayesX","spdep"
"BayHaz","coda"
"BB","setRNG"
"BB","survival"
"BB","Hmisc"
"BB","numDeriv"
"bbmle","aod"
"bbmle","emdbook"
"bbmle","rms"
"bbmle","ggplot2"
"beanplot","vioplot"
"beanplot","lattice"
