"Package","Topic"
"abind",15
"AcceptanceSampling",19
"ACCLMA",16
"accuracy",16
"acepack",11
"aCGH.Spline",20
"ada",10
"adabag",13
"ADaCGH",20
"AdaptFit",11
"adaptTest",1
"ade4TkGUI",18
"adegenet",19
"adehabitat",18
"adimpro",2
"adk",19
"adlift",12
"AdMit",25
"AER",1
"afc",15
"agricolae",10
"AGSDest",22
"AICcmodavg",24
"AIGIS",16
"AIM",17
"akima",21
"alabama",11
"AlgDesign",5
"allan",13
"alphahull",25
"alr3",23
"ALS",15
"amap",19
"amei",1
"Amelia",1
"amer",11
"AMORE",24
"anacor",24
"analogue",10
"AnalyzeFMRI",5
"anapuce",24
"anchors",7
"anesrake",17
"Animal",15
"animation",21
"anm",6
"apcluster",17
"aplpack",21
"approximator",19
"apsrtable",1
"aqp",5
"AquaEnv",4
"archetypes",15
"ArDec",24
"ares",1
"argosfilter",16
"arm",3
"aroma.apd",8
"aroma.cn",8
"aroma.core",8
"arules",8
"arulesNBMiner",8
"arulesSequences",8
"asbio",12
"ascii",8
"asd",3
"aspace",16
"aspect",24
"assist",11
"aster",3
"asypow",3
"atmi",19
"audio",8
"automap",6
"aws",2
"aylmer",7
"B2Z",3
"backfitRichards",21
"backtest",4
"BaM",3
"BAMD",13
"BARD",4
"bark",3
"BAS",17
"batch",15
"bayesclust",19
"bayescount",3
"BayesDA",23
"bayesGARCH",3
"bayesm",25
"bayesmix",6
"BayesQTLBIC",17
"bayesSurv",10
"BayesTree",3
"BayesValidate",3
"BayesX",8
"BayHaz",3
"BAYSTAR",24
"BB",11
"bbmle",11
"BBMM",20
"BCE",5
"Bchron",13
"bclust",25
"bcp",22
"bcv",5
"bdoc",16
"bdsmatrix",10
"beanplot",21
"bear",24
"benchden",19
"benchmark",6
"bentcableAR",25
"bestglm",17
"betaper",12
"betareg",17
"bfast",16
"BGSIMD",15
"Bhat",13
"BHH2",23
"BiasedUrn",3
"biclust",15
"bifactorial",19
"biganalytics",13
"biglars",10
"biglm",11
"bigmemory",8
"bigtabulate",22
"binarySimCLF",9
"bindata",25
"binGroup",3
"binhf",16
"binMto",3
"binom",3
"bio.infer",24
"Biodem",22
"BiodiversityR",12
"BioIDMapper",20
"biopara",13
"BioPhysConnectoR",13
"biOps",16
"BiplotGUI",23
"bisoreg",7
"biwt",16
"BLCOP",6
"blighty",17
"blockmodeling",11
"blockrand",5
"blockTools",5
"BLR",25
"BMA",1
"BMN",9
"BMS",21
"bnlearn",17
"boa",25
"Bolstad2",3
"Bolstad",3
"boolean",20
"boolfun",9
"BoolNet",22
"boot",19
"BootPR",24
"bootRes",24
"bootruin",3
"bootstrap",11
"Boruta",7
"BoSSA",16
"bpca",11
"BPHO",19
"bqtl",17
"BradleyTerry2",1
"BradleyTerry",1
"brainwaver",16
"brew",8
"brglm",11
"Brobdingnag",2
"BSagri",10
"BSDA",23
"BsMD",10
"bspec",8
"BTSPAS",15
"bvls",11
"bvpSolve",21
"ca",10
"cacher",8
"CADFtest",7
"CADStat",24
"Cairo",8
"CalciOMatic",14
"calib",11
"calibrate",6
"calibrator",19
"caMassClass",1
"candisc",23
"car",23
"care",24
"caret",1
"caroline",20
"cat",3
"catmap",22
"catnet",7
"caTools",21
"catR",12
"catspec",1
"CausalGAM",3
"CAVIAR",15
"ccems",9
"ccgarch",7
"cclust",10
"CCMtools",13
"CCP",3
"CDFt",20
"CDNmoney",14
"CellularAutomaton",16
"cellVolumeDist",15
"cem",6
"censReg",1
"cfa",19
"cgh",24
"cghFLasso",24
"CGIwithR",8
"ChainLadder",12
"changeLOS",3
"chemCal",13
"chemometrics",10
"CHNOSZ",12
"choplump",10
"chplot",21
"chron",15
"cimis",6
"CircNNTSR",24
"CircSpatial",16
"CircStats",21
"circular",21
"class",24
"classGraph",9
"classifly",24
"classInt",11
"clim.pact",6
"clinfun",3
"ClinicalRobustPriors",3
"clinsig",21
"clue",7
"clues",11
"clusterCons",19
"clusterfly",16
"clusterGeneration",25
"clusterRepro",24
"clusterSim",11
"clustTool",16
"clustvarsel",10
"clv",13
"clValid",17
"cmaes",13
"CMC",25
"cmm",1
"cmprsk",3
"cmprskContin",3
"cmrutils",16
"CNVassoc",1
"coarseDataTools",3
"cobs99",11
"cobs",11
"CoCo",5
"CoCoCg",5
"cocorresp",10
"coda",21
"codep",25
"codetools",8
"coenoflex",12
"coin",4
"colbycol",8
"CollocInfer",11
"colorRamps",21
"colorspace",21
"combinat",13
"CombMSC",11
"compare",17
"CompetingRiskFrailty",11
"compHclust",25
"compoisson",11
"COMPoissonReg",15
"compositions",19
"CompQuadForm",3
"CompRandFld",10
"compute.es",3
"concord",3
"cond",1
"condGEE",3
"conf.design",5
"constrainedKriging",19
"contfrac",7
"ConvergenceConcepts",24
"convexHaz",11
"COP",24
"copas",3
"corcounts",24
"CORElearn",6
"corpcor",25
"CorrBin",11
"CORREP",24
"corrgram",23
"corrperm",3
"corrplot",21
"corrsieve",16
"countrycode",24
"CoxBoost",17
"coxme",10
"coxphf",3
"coxphw",3
"coxrobust",3
"COZIGAM",11
"Cprob",3
"cramer",3
"crank",13
"crawl",10
"CreditMetrics",13
"crmn",10
"crossdes",25
"crosshybDetector",20
"csampling",11
"cshapes",16
"cslogistic",3
"cthresh",2
"CTT",20
"ctv",8
"cubature",3
"cudaBayesreg",7
"cumSeg",19
"cusp",25
"CVThresh",2
"cwhmisc",15
"cxxPack",15
"cyclones",16
"DAAG",23
"DAAGbio",16
"DAAGxtras",23
"dae",5
"dafs",16
"dagR",19
"Daim",21
"DAKS",1
"DAMisc",3
"data.table",8
"DatABEL",15
"dataframes2xls",8
"datamap",8
"date",15
"Davies",7
"DBI",2
"dblcens",3
"dcemri",25
"dcemriS4",25
"DCGL",24
"dclone",13
"DCluster",19
"DDHFm",16
"ddst",19
"deal",7
"debug",8
"decon",20
"Deducer",3
"Defaults",8
"degreenet",15
"deldir",16
"delftfews",16
"delt",20
"DEMEtics",6
"demography",23
"denpro",19
"denstrip",21
"DEoptim",13
"depmix",10
"depmixS4",10
"depth",25
"descr",3
"DescribeDisplay",16
"Design",17
"desire",13
"deSolve",21
"Devore5",23
"Devore6",23
"Devore7",23
"dglm",11
"DiagnosisMed",22
"diagram",21
"diamonds",13
"dice",15
"DiceKriging",11
"DiceOptim",11
"dichromat",21
"DierckxSpline",6
"diffractometry",1
"diffusionMap",13
"difR",4
"digeR",24
"digest",8
"dirmult",19
"diseasemapping",16
"dismo",16
"dispmod",3
"distory",16
"distr",9
"distrEllipse",9
"distrMod",4
"distrSim",4
